각인1,각인2,감소,합,유효,,,합,개수,비율
10,7,1,17,SAFE,,,20, - ,0.0000%
10,6,2,16,SAFE,,,19, - ,0.0000%
9,7,1,16,SAFE,,,18, - ,0.0000%
9,7,1,16,SAFE,,,17, 1 ,0.0050%
9,7,1,16,SAFE,,,16, 48 ,0.2400%
9,7,1,16,SAFE,,,15, 342 ,1.7100%
9,7,1,16,SAFE,,,14," 1,461 ",7.3050%
9,7,1,16,SAFE,,,13," 3,941 ",19.7050%
9,7,2,16,SAFE,,,12," 5,805 ",29.0250%
9,7,2,16,SAFE,,,11," 4,918 ",24.5900%
9,7,2,16,SAFE,,,10," 2,540 ",12.7000%
9,7,2,16,SAFE,,,9, 764 ,3.8200%
9,7,2,16,SAFE,,,8, 148 ,0.7400%
9,7,4,16,SAFE,,,7, 31 ,0.1550%
9,7,4,16,SAFE,,,6, 1 ,0.0050%
8,8,1,16,SAFE,,,5, - ,0.0000%
8,8,1,16,SAFE,,,4, - ,0.0000%
8,8,1,16,SAFE,,,3, - ,0.0000%
8,8,1,16,SAFE,,,2, - ,0.0000%
8,8,1,16,SAFE,,,1, - ,0.0000%
8,8,1,16,SAFE,,,0, - ,0.0000%
8,8,1,16,SAFE,,,,,
8,8,1,16,SAFE,,,,,
8,8,1,16,SAFE,,,,,
8,8,2,16,SAFE,,,,,
8,8,2,16,SAFE,,,,,
8,8,2,16,SAFE,,,,,
8,8,2,16,SAFE,,,,,
8,8,3,16,SAFE,,,,,
8,8,3,16,SAFE,,,,,
8,8,3,16,SAFE,,,,,
8,8,4,16,SAFE,,,,,
8,8,4,16,SAFE,,,,,
8,8,4,16,SAFE,,,,,
8,8,4,16,SAFE,,,,,
7,9,0,16,SAFE,,,,,
7,9,1,16,SAFE,,,,,
7,9,1,16,SAFE,,,,,
7,9,1,16,SAFE,,,,,
7,9,2,16,SAFE,,,,,
7,9,2,16,SAFE,,,,,
7,9,2,16,SAFE,,,,,
7,9,2,16,SAFE,,,,,
7,9,2,16,SAFE,,,,,
7,9,3,16,SAFE,,,,,
7,9,3,16,SAFE,,,,,
7,9,4,16,SAFE,,,,,
6,10,2,16,SAFE,,,,,
6,10,2,16,SAFE,,,,,
10,5,1,15,SAFE,,,,,
10,5,2,15,SAFE,,,,,
9,6,0,15,SAFE,,,,,
9,6,1,15,SAFE,,,,,
9,6,1,15,SAFE,,,,,
9,6,1,15,SAFE,,,,,
9,6,1,15,SAFE,,,,,
9,6,1,15,SAFE,,,,,
9,6,1,15,SAFE,,,,,
9,6,1,15,SAFE,,,,,
9,6,1,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
9,6,2,15,SAFE,,,,,
